metric,n,mean_no-category,mean_with-category,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9325128306678006,0.9535251605750107,0.021012329907210137,0.002054906840249251,0.03996975297417102,0.7928986580382529,2.507365713091854,0.03345504818279352,5.0,0.01953125,0.44556465793726685,
test_ap,10,0.9329314152696846,0.9533324171574741,0.020401001887789615,0.0036622085049594806,0.03713979527061975,0.8718667621598521,2.7570847846214384,0.022217838019640338,7.0,0.037109375,0.3542303494031587,
test_link_f1,10,0.8552552838166336,0.8800197228385876,0.024764439021953875,0.0003420356875975909,0.049186842356310156,0.7253754773561909,2.2938386672774564,0.04747558030881968,8.0,0.048828125,0.5697069637058362,
test_link_acc,10,0.8577376889322282,0.8800243783520234,0.022286689419795225,0.00019559753229867263,0.04437778130729178,0.7216907733156224,2.2821866100056343,0.04838913426928098,7.0,0.037109375,0.5697069637058362,
test_link_mrr,10,0.4573462039232254,0.5151012450456619,0.05775504112243651,-0.020626122894093768,0.1361362051389668,0.5271096447718155,1.6668670541212023,0.1298903541911311,12.0,0.130859375,0.6494517709556555,
test_link_hits1,10,0.3466796684544125,0.421891760117016,0.07521209166260362,-0.03267805382275525,0.18310223714796248,0.4986877062895749,1.576988993000133,0.14925289463996616,13.0,0.16015625,0.6494517709556555,
test_link_hits3,10,0.5008191126279863,0.5597562164797659,0.058937103851779624,-0.01084660784588476,0.128720815549444,0.6041676951914255,1.910546005499264,0.08838433336871752,11.0,0.10546875,0.578132009087378,
test_link_hits10,10,0.6604680643588494,0.6727742564602632,0.012306192101413971,-0.054805630382417966,0.0794180145852459,0.1311739002180869,0.4148082942568123,0.6879954100588326,22.0,0.625,0.6879954100588326,
test_category_accuracy,10,0.8392296440760605,0.9137201365187713,0.0744904924427108,0.02720183252170638,0.12177915236371523,1.1268513061496148,3.5634167117684865,0.006086633115958612,3.0,0.009765625,0.1034727629712964,
test_f1_macro,10,0.8281336836832536,0.8773657476841583,0.04923206400090476,-0.03202676217660106,0.1304908901784106,0.4334113429266617,1.370567007400559,0.20371915490426637,15.0,0.232421875,0.6494517709556555,
test_auc_historical,10,0.8532184635528779,0.8826420466309972,0.02942358307811941,0.0002368462061138922,0.05861031995012493,0.7211619252141497,2.280514245468725,0.04852166162052275,9.0,0.064453125,0.5697069637058362,
test_ap_historical,10,0.8174170664119857,0.855548103749069,0.03813103733708308,-0.023102181125440872,0.09936425579960703,0.44546573862685235,1.4086863536301013,0.192525449567054,13.0,0.16015625,0.6494517709556555,
test_auc_inductive,10,0.875396472829251,0.9087284522587238,0.03333197942947289,0.0060048973752030894,0.0606590614837427,0.8725505938465152,2.759247250287488,0.022139396837697417,6.0,0.02734375,0.3542303494031587,
test_ap_inductive,10,0.8713031042953283,0.9118104689727226,0.040507364677394096,0.004399540690886314,0.07661518866390188,0.8025192289481027,2.537788629558138,0.03182604699551906,8.0,0.048828125,0.44556465793726685,
nn_test_auc,10,0.9343881982698317,0.9576098527220834,0.023221654452251717,-0.0016935139039141213,0.04813682280841755,0.6667332382834061,2.108395624715336,0.06423688989859756,9.0,0.064453125,0.578132009087378,
nn_test_ap,10,0.9354242627021335,0.9613218894242092,0.02589762672207584,-0.0019009217485492433,0.05369617519270092,0.6664393338185978,2.107466217192049,0.06433389137684843,7.0,0.037109375,0.578132009087378,
nn_test_link_mrr,10,0.5712014377117157,0.6744576632976532,0.1032562255859375,-0.011444149611930604,0.2179566007838056,0.6439826716341739,2.0364520160442967,0.07217790774789071,8.0,0.048828125,0.578132009087378,
