metric,n,mean_cat_tgn_last,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9410194858033838,0.9535251605750107,0.012505674771626762,-0.0016053302935922671,0.02661667983684579,0.6339747431426112,2.004804167350866,0.07596206488642848,11.0,0.10546875,1.0,
test_ap,10,0.9404746609652019,0.9533324171574741,0.012857756192272274,0.00047248695093477476,0.025243025433609775,0.7426471325088254,2.3484564365207645,0.04341472447038601,9.0,0.064453125,1.0,
test_category_mrr,10,0.9553681131155534,0.9537591418820088,-0.0016089712335445538,-0.025676654125923504,0.0224587116588344,-0.04782299519945466,-0.1512295893615751,0.8831300858733376,25.0,0.845703125,1.0,
test_link_mrr,10,0.4970926970243454,0.5151012450456619,0.018008548021316517,-0.05575393155736506,0.0917710275999981,0.17464894438386475,0.5522884551970852,0.5941984487944841,22.0,0.625,1.0,
test_link_hits1,10,0.39224768405655774,0.421891760117016,0.029644076060458314,-0.07075864076032912,0.13004679288124574,0.21121036564000617,0.6679058208593865,0.5209515451728175,21.0,0.556640625,1.0,
test_link_hits3,10,0.5474695270599708,0.5597562164797659,0.012286689419795226,-0.05266916619928229,0.07724254503887275,0.13531294514094241,0.42789710355079164,0.6787828590162253,25.0,0.845703125,1.0,
test_link_hits10,10,0.6844856167723062,0.6727742564602632,-0.011711360312042896,-0.06447190712151384,0.041049186497428045,-0.15878915182180714,-0.5021353874831859,0.6276270896146333,22.0,0.625,1.0,
test_category_accuracy,10,0.9159434422233057,0.9137201365187713,-0.002223305704534384,-0.043582178213278366,0.0391355668042096,-0.03845503983423135,-0.12160551338867491,0.9058833133301791,24.0,0.76953125,1.0,
test_f1_macro,10,0.8826503573231419,0.8773657476841583,-0.005284609638983662,-0.08388453084487693,0.0733153115669096,-0.04809651132732507,-0.15209452330243547,0.8824673489809718,27.0,1.0,1.0,
test_link_acc,10,0.8611116528522672,0.8800243783520234,0.018912725499756235,-0.0037859614505351517,0.041611412450047625,0.5960410320917015,1.8848472403272916,0.09209097049404694,11.0,0.10546875,1.0,
test_link_precision,10,0.8393873471420678,0.8797652695252506,0.04037792238318276,-0.00664349034639776,0.08739933511276328,0.6142866398266751,1.942544918063794,0.08396570149789512,11.0,0.10546875,1.0,
test_link_recall,10,0.8982155046318869,0.8820770355923939,-0.016138469039492932,-0.062334764198061755,0.03005782611907589,-0.24990673471904212,-0.7902744843276523,0.4496881213280036,17.0,0.322265625,1.0,
test_link_f1,10,0.8663673258969832,0.8800197228385876,0.013652396941604606,-0.006001262553238193,0.03330605643644741,0.49692203316091654,1.571405444310217,0.15053721982621387,13.0,0.16015625,1.0,
tuned_link_threshold,10,0.31500000000000006,0.402,0.08700000000000001,-0.05228758058671544,0.22628758058671544,0.4468169420223499,1.4129592339420272,0.19130431707871656,11.0,0.10546875,1.0,
nn_test_auc,10,0.9320335009121703,0.9576098527220834,0.025576351809913155,0.003988386941415366,0.04716431667841094,0.8475194400309322,2.6800917917682314,0.025202276959129435,6.0,0.02734375,1.0,
nn_test_ap,10,0.9383522620342106,0.9613218894242092,0.02296962738999887,0.003851391805406692,0.04208786297459105,0.8594664245193803,2.717871473922429,0.023690218700432808,7.0,0.037109375,1.0,
nn_test_category_mrr,10,0.942431893515641,0.953822249844624,0.011390356328982842,-0.019361957944584663,0.04214267060255035,0.264961198982287,0.8378808803531148,0.42378968156160757,21.0,0.556640625,1.0,
nn_test_link_mrr,10,0.5824912577867508,0.6744576632976532,0.0919664055109024,-0.02720538189450296,0.21113819291630775,0.5520501515658108,1.7457358615891316,0.11481125546013651,11.0,0.10546875,1.0,
nn_test_link_hits1,10,0.4714885021752641,0.5892635177128651,0.11777501553760102,-0.04623098417920389,0.2817810152544059,0.5137078574021973,1.6244868813159319,0.1387184069159053,12.0,0.130859375,1.0,
nn_test_link_hits3,10,0.6440180236171534,0.7314947172156618,0.08747669359850842,-0.012236255706845486,0.1871896429038623,0.6275720186105544,1.9845569745989309,0.07848165001462715,10.0,0.083984375,1.0,
nn_test_link_hits10,10,0.7896364201367309,0.8112647607209447,0.0216283405842138,-0.028351721275066234,0.07160840244349384,0.3095630982843649,0.9789244701171557,0.35319640989894724,20.0,0.4921875,1.0,
test_auc_random_cc,10,0.9418385409027383,0.9542844015869344,0.012445860684196041,-0.0011523710005219515,0.026044092368914036,0.6547345712012009,2.0704525078494807,0.06831393816003063,10.0,0.083984375,1.0,
test_ap_random_cc,10,0.9410185628277621,0.9534038036807944,0.012385240853032243,0.0003943051039100396,0.024376176602154444,0.7388804144810139,2.3365450282492635,0.04427007477732688,9.0,0.064453125,1.0,
test_link_acc_random_cc,10,0.8625353486104339,0.8810628961482205,0.01852754753778646,-0.00332339537303563,0.04037849044860855,0.6065554761616777,1.9180968319188674,0.08732227615986499,11.0,0.10546875,1.0,
test_link_f1_random_cc,10,0.8675382328893708,0.8809253332524054,0.013387100363034676,-0.005620293542555553,0.0323944942686249,0.5038331263710332,1.5932602399759102,0.14556592080575514,14.0,0.193359375,1.0,
test_auc_historical,10,0.8462479826349112,0.8826420466309972,0.0363940639960861,0.01362049349978085,0.05916763449239135,1.1431999659501066,3.6151157134292737,0.005614339685141678,3.0,0.009765625,0.3649320795342091,
test_ap_historical,10,0.8193440114438699,0.855548103749069,0.03620409230519894,0.009352165100020283,0.0630560195103776,0.9645060951129278,3.0500360776718503,0.013792099408400689,6.0,0.02734375,0.8826943621376441,
test_link_acc_historical,10,0.766396879570941,0.8071818625060946,0.04078498293515358,0.007305255655357494,0.07426471021494965,0.871447337630031,2.755758447800658,0.022266089067735285,4.0,0.013671875,1.0,
test_link_f1_historical,10,0.7940277508477472,0.8207802340648636,0.026752483217116187,0.005283335871574823,0.04822163056265755,0.8913988670911419,2.81885072370172,0.020084661054650572,5.0,0.01953125,1.0,
test_auc_inductive,10,0.8825740744130475,0.9087284522587238,0.026154377845676424,0.0030233859304460743,0.04928536976090678,0.8088591653067665,2.55783726867203,0.030796204742252378,8.0,0.048828125,1.0,
test_ap_inductive,10,0.8860976827099133,0.9118104689727226,0.025712786262809095,0.0022997195075867144,0.049125853018031476,0.7856219527817861,2.4843547506196995,0.03474232040090069,7.0,0.037109375,1.0,
test_link_acc_inductive,10,0.7713846903949293,0.8068844466114091,0.03549975621647975,0.0026399768312637337,0.06835953560169578,0.7728291621202825,2.443900394499616,0.037126343131920946,6.0,0.02734375,1.0,
test_link_f1_inductive,10,0.7978226452312487,0.8205455438776752,0.022722898646426515,0.003379936153356841,0.04206586113949619,0.8403564074642971,2.6574402939037025,0.02615528903443019,5.0,0.01953125,1.0,
test_c0_acc,10,0.9470694864048339,0.9589123867069486,0.011842900302114778,-0.006755359035585058,0.030441159639814613,0.4555211519535489,1.4404843625568733,0.18359722067104237,13.0,0.16015625,1.0,
test_c1_acc,10,0.982970297029703,0.8647524752475247,-0.11821782178217824,-0.25681138971535156,0.020375746150995078,-0.6101865799534594,-1.9295793903213716,0.08573028393445001,8.5,0.10546875,1.0,
test_c2_acc,10,0.9994252873563217,1.0,0.0005747126436781546,-0.0007253776797690756,0.0018748029671253848,0.3162277660168379,1.0,0.3434363961379136,0.0,1.0,1.0,
test_c3_acc,10,0.9033329125110466,0.9055043555106679,0.0021714429996212313,-0.04858299275673033,0.05292587875597279,0.030605339662480857,0.09678258189652847,0.9250200019229124,26.0,0.921875,1.0,
test_c0_precision,10,0.8285068426794346,0.7380505680270859,-0.09045627465234875,-0.19903681335756945,0.018124264052871944,-0.5959495277197919,-1.8845578780961945,0.09213352764922247,13.0,0.16015625,1.0,
test_c1_precision,10,0.7548653731605185,0.9041752969141499,0.14930992375363142,-0.07223101187655459,0.37085085938381745,0.48212256928177505,1.524605430302739,0.1616952865792417,14.0,0.193359375,1.0,
test_c2_precision,10,0.8230778101437843,0.8281599226322441,0.005082112488459656,-0.2888808151871406,0.29904504016405986,0.01236728826415595,0.03910879939460294,0.9696574352272279,26.0,0.921875,1.0,
test_c3_precision,10,0.988746717828714,0.9897694007733915,0.0010226829446773223,-0.006886704886813084,0.00893207077616773,0.09249556636742666,0.29249666318833506,0.7765380057537574,18.0,0.375,1.0,
test_c0_auc,10,0.9920387198763436,0.9888273378767651,-0.0032113819995784887,-0.009698969079342347,0.0032762050801853695,-0.35410457892335107,-1.1197769992926436,0.29180101087473326,15.0,0.232421875,1.0,
test_c1_auc,10,0.9908513023610054,0.9976802843361259,0.006828981975120529,-0.013295442998206558,0.026953406948447618,0.2427477765514518,0.7676358708442016,0.46236678841280193,26.0,0.921875,1.0,
test_c2_auc,10,0.9999900233396841,1.0,9.976660315802466e-06,-1.2592113278394683e-05,3.2545433909999613e-05,0.31622776601683794,1.0,0.3434363961379136,0.0,1.0,1.0,
