metric,n,mean_cat_tgn_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9335861204806447,0.9535251605750107,0.019939040094365958,-0.005684559020555445,0.04556263920928736,0.556655993795367,1.760300813577917,0.11220906101820644,11.0,0.10546875,1.0,
test_ap,10,0.9251699542629723,0.9533324171574741,0.028162462894501705,0.0005195122558580151,0.055805413533145394,0.728801081479371,2.3046713786687696,0.046641485912540186,9.0,0.064453125,1.0,
test_category_mrr,10,0.9507646676418007,0.9537591418820088,0.002994474240208056,-0.022728854864523897,0.028717803344940007,0.08327529530732619,0.26333960599428224,0.798218694911287,26.0,0.921875,1.0,
test_link_mrr,10,0.4411050707101822,0.5151012450456619,0.07399617433547974,-0.05905162437127438,0.20704397304223388,0.3978545668610715,1.2581266087807332,0.24000524766908432,16.0,0.275390625,1.0,
test_link_hits1,10,0.3141589468551926,0.421891760117016,0.10773281326182352,-0.06828633445497115,0.2837519609786182,0.4378353887412907,1.3845570686477215,0.19954789926912142,16.0,0.275390625,1.0,
test_link_hits3,10,0.5026523647001462,0.5597562164797659,0.057103851779619706,-0.059263619136822536,0.17347132269606194,0.3510399805578682,1.110085888344089,0.29573956220409264,19.0,0.431640625,1.0,
test_link_hits10,10,0.6792881521209166,0.6727742564602632,-0.006513895660653324,-0.08011841389762689,0.06709062257632023,-0.06330807343400252,-0.20019770632864542,0.845776573331072,24.0,0.76953125,1.0,
test_category_accuracy,10,0.9080058508044855,0.9137201365187713,0.005714285714285694,-0.03892109084679252,0.05034966227536391,0.0915810297424102,0.2896046444496396,0.7786797067458346,24.0,0.76953125,1.0,
test_f1_macro,10,0.8805632092294552,0.8773657476841583,-0.0031974615452968536,-0.07737369281328822,0.07097876972269453,-0.030836376544123068,-0.09751318466602059,0.9244559667214887,24.0,0.76953125,1.0,
test_link_acc,10,0.8564553876157971,0.8800243783520234,0.023568990736226238,-0.007025020078667166,0.05416300155111964,0.5510961080562331,1.7427189111119652,0.11535717586586446,12.0,0.130859375,1.0,
test_link_precision,10,0.840247328281675,0.8797652695252506,0.03951794124357556,-0.014270674235337087,0.09330655672248822,0.5255653436444653,1.66198354516561,0.13088097215899291,14.0,0.193359375,1.0,
test_link_recall,10,0.8881326182350074,0.8820770355923939,-0.006055582642613344,-0.05869136078779797,0.04658019550257129,-0.08229958814555581,-0.26025414903374955,0.8005240953394697,25.0,0.845703125,1.0,
test_link_f1,10,0.8606781422300342,0.8800197228385876,0.0193415806085533,-0.009209959813048764,0.04789312103015536,0.4846019884184074,1.5324460420487054,0.15977621724250474,14.0,0.193359375,1.0,
tuned_link_threshold,10,0.38300000000000006,0.402,0.019,-0.11179929301268986,0.14979929301268985,0.10391326207033845,0.32860258724025343,0.7499728956662165,16.0,0.48828125,1.0,
nn_test_auc,10,0.9122312485104569,0.9576098527220834,0.04537860421162658,-0.012006204642841474,0.10276341306609463,0.5656880026981049,1.7888625335574873,0.10726372693265399,11.0,0.10546875,1.0,
nn_test_ap,10,0.9231621259825925,0.9613218894242092,0.038159763441616854,-0.008721302593028571,0.08504082947626228,0.5822787879438197,1.8413272031046621,0.09870314240639169,8.0,0.048828125,1.0,
nn_test_category_mrr,10,0.9440607520198881,0.953822249844624,0.009761497824735888,-0.016135285863391163,0.03565828151286294,0.26964564270365077,0.8526943920834996,0.41594335963681217,22.0,0.625,1.0,
