metric,n,mean_agg_bitransformer,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,25,0.9371127722358266,0.9467514025694378,0.009638630333611418,-0.005838619873022187,0.025115880540245022,0.25706317357431585,1.2853158678715793,0.21094728290345494,97.0,0.0801958441734314,1.0,
test_ap,25,0.9308885520821668,0.9458993904845944,0.015010838402427548,-0.0007153643358998665,0.030737041140754963,0.3940029046184858,1.970014523092429,0.060480887062605106,97.0,0.0801958441734314,1.0,
test_category_mrr,25,0.9592517471152284,0.9549793596619535,-0.004272387453274815,-0.01855248043510636,0.010007705528556732,-0.12349743563645275,-0.6174871781822638,0.5427284169765223,137.0,0.507703959941864,1.0,
test_link_mrr,25,0.42755013406276704,0.4687520170211792,0.04120188295841217,-0.029193005573155538,0.11159677148997987,0.24159852724562392,1.2079926362281195,0.23881931178609483,129.0,0.3809836506843567,1.0,
test_link_hits1,25,0.29699073622623107,0.3566026328620185,0.05961189663578741,-0.02799389294531767,0.1472176862168925,0.28087848602429805,1.4043924301214903,0.17301200480626988,118.0,0.24106645584106445,1.0,
test_link_hits3,25,0.4919161384690394,0.5219892735251097,0.030073135056070215,-0.03648045944775055,0.09662672955989099,0.18652005394631357,0.9326002697315678,0.36031433570090765,147.0,0.6915188431739807,1.0,
test_link_hits10,25,0.6676587030716723,0.6708532423208191,0.0031945392491467706,-0.0402790880086196,0.04666816650691314,0.030331975394118707,0.15165987697059355,0.8807228608336755,156.0,0.8739878535270691,1.0,
test_category_accuracy,25,0.9268259385665529,0.9172657240370551,-0.0095602145294978,-0.03546975377630249,0.016349324717306886,-0.1523092543509374,-0.7615462717546869,0.4537496566019896,125.0,0.325391948223114,1.0,
test_f1_macro,25,0.892425174415924,0.8671883641480281,-0.025236810267895895,-0.07004068241911972,0.019567061883327925,-0.2325076557498701,-1.1625382787493503,0.25644689654544484,122.0,0.2872292995452881,1.0,
test_link_acc,25,0.8592393954168698,0.873129205265724,0.013889809848854223,-0.010003568671858115,0.03778318836956656,0.2399590208097732,1.1997951040488661,0.24192945831042573,95.0,0.0709836483001709,1.0,
test_link_precision,25,0.856715044380096,0.8721926192304689,0.015477574850372702,-0.013904695469393437,0.04485984517013884,0.21743823144724617,1.0871911572362307,0.28775092657083934,114.0,0.2002161741256714,1.0,
test_link_recall,25,0.869878108239883,0.8785529010238907,0.008674792784007788,-0.015878471064102034,0.033228056632117614,0.145837168207787,0.729185841038935,0.47294471353222245,117.0,0.23036134243011475,1.0,
test_link_f1,25,0.8613553169718677,0.8740617158242194,0.012706398852351662,-0.008078249109102844,0.03349104681380617,0.25234700499594487,1.2617350249797246,0.21916951260318226,93.0,0.0626264214515686,1.0,
tuned_link_threshold,25,0.4252,0.40120000000000006,-0.024000000000000007,-0.07188659796990776,0.023886597969907747,-0.20687861564189555,-1.0343930782094777,0.31126350438550354,125.5,0.31922505956587444,1.0,
nn_test_auc,25,0.9210566384665806,0.9507456604803387,0.02968902201375808,0.00392882077250609,0.055449223255010074,0.4757348691221636,2.3786743456108184,0.02567912419542402,58.0,0.0037809014320373535,1.0,
nn_test_ap,25,0.9261613274770254,0.9537573040572171,0.027595976580191764,0.00508011642855296,0.05011183673183057,0.5059126854314999,2.5295634271574996,0.018399534633823367,45.0,0.0009118914604187012,1.0,
nn_test_category_mrr,25,0.955137766728817,0.9502599958566398,-0.004877770872177351,-0.021733043616414233,0.01197750187205953,-0.11945489627843695,-0.5972744813921849,0.5559178503096635,139.0,0.5424043536186218,1.0,
nn_test_link_mrr,25,0.5083658844232559,0.5999884390830994,0.09162255465984344,-0.004369382308969841,0.18761449162865673,0.39399071369207256,1.969953568460363,0.060488278724315586,98.0,0.08513903617858887,1.0,
nn_test_link_hits1,25,0.36577998756991925,0.4842324425108763,0.11845245494095712,-0.0041736376015697185,0.24107854748348395,0.39873055775493466,1.9936527887746733,0.05767373359826885,96.0,0.07547956705093384,1.0,
nn_test_link_hits3,25,0.5938098197638283,0.6731821006836545,0.07937228091982601,-0.01363208910036623,0.17237665094001825,0.3522766433190142,1.7613832165950711,0.09091023985117623,117.0,0.23036134243011475,1.0,
nn_test_link_hits10,25,0.7667806090739588,0.8034928527035428,0.0367122436295836,-0.014485276467231321,0.08790976372639853,0.2959922538355485,1.4799612691777426,0.15189188869279646,115.0,0.20993918180465698,1.0,
test_auc_random_cc,25,0.9374361529415317,0.947374090197763,0.009937937256231343,-0.005181695094770282,0.025057569607232967,0.27131472422775743,1.3565736211387869,0.1875413978699895,99.0,0.09031611680984497,1.0,
test_ap_random_cc,25,0.9307198853015152,0.9459489329542313,0.015229047652716345,-0.0007798888033913702,0.03123798410882406,0.39267080148118516,1.9633540074059257,0.06129329676916115,104.0,0.11993378400802612,1.0,
test_link_acc_random_cc,25,0.8597932715748415,0.8740321794246709,0.014238907849829343,-0.009114293359162135,0.03759210905882082,0.2516799402995928,1.258399701497964,0.2203519840264697,96.5,0.07574337792220155,1.0,
