metric,n,mean_cat_dyrep,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9469069849981018,0.9535251605750107,0.006618175576908747,-0.004221986855553837,0.01745833800937133,0.4367423120607747,1.3811004566800749,0.20057166253102646,17.0,0.322265625,1.0,
test_ap,10,0.9441144230481129,0.9533324171574741,0.009217994109361327,-7.026285703010636e-05,0.01850625107575276,0.7099454471585768,2.2450446274878177,0.051417832190621224,9.0,0.064453125,1.0,
test_category_mrr,10,0.9673126929952869,0.9537591418820088,-0.013553551113277973,-0.030855699863345264,0.0037485976367893203,-0.5603712307277486,-1.77204942433142,0.11014983924042826,11.0,0.10546875,1.0,
test_link_mrr,10,0.4926970262080431,0.5151012450456619,0.02240421883761883,-0.15624380540339225,0.20105224307862993,0.08971278992006601,0.2836967513956037,0.7830609517626501,26.0,0.921875,1.0,
test_link_hits1,10,0.46324719648951723,0.421891760117016,-0.04135543637250123,-0.2367068453289675,0.15399597258396505,-0.15143938385973907,-0.4788933804493167,0.6434351219250445,20.0,0.4921875,1.0,
test_link_hits3,10,0.4895465626523647,0.5597562164797659,0.07020965382740127,-0.10677625250588127,0.2471955601606838,0.28377943629399777,0.8973893718076847,0.3928836741295349,26.0,0.921875,1.0,
test_link_hits10,10,0.539785470502194,0.6727742564602632,0.13298878595806923,-0.016881235668023797,0.28285880758416226,0.6347796938944062,2.007349645130803,0.0756508190783775,10.0,0.083984375,1.0,
test_category_accuracy,10,0.9394636762554851,0.9137201365187713,-0.02574353973671385,-0.05518287572126209,0.003695796247834393,-0.6255514371809998,-1.978167335083699,0.07929318028589276,9.0,0.064453125,1.0,
test_f1_macro,10,0.9268627078302621,0.8773657476841583,-0.049496960146103844,-0.0981643599230234,-0.0008295603691842873,-0.7275505251435752,-2.3007167723053006,0.046944297634970676,7.0,0.037109375,1.0,
test_link_acc,10,0.8718332520721599,0.8800243783520234,0.008191126279863492,-0.0063397360224998756,0.02272198858222686,0.40325058692663535,1.275190322487886,0.23417407909074517,15.0,0.232421875,1.0,
test_link_precision,10,0.8832652833310906,0.8797652695252506,-0.0035000138058401296,-0.029313432552287213,0.022313404940606952,-0.09699447684917827,-0.3067234672998755,0.766031614277897,23.0,0.6953125,1.0,
test_link_recall,10,0.8580107264748902,0.8820770355923939,0.024066309117503636,-0.019488945557605716,0.06762156379261298,0.39526804645845587,1.249947313093972,0.24284263975719678,15.0,0.232421875,1.0,
test_link_f1,10,0.8697661145494171,0.8800197228385876,0.010253608289170445,-0.0069006948624635925,0.027407911440804483,0.4275888933487475,1.3521548051728638,0.20932208578163003,15.0,0.232421875,1.0,
tuned_link_threshold,10,0.5109999999999999,0.402,-0.10900000000000001,-0.20032754295715777,-0.01767245704284226,-0.853782990607559,-2.699898877830033,0.02439773683033993,5.0,0.01953125,1.0,
nn_test_auc,10,0.949209856497846,0.9576098527220834,0.008399996224237405,-0.007555502267146042,0.024355494715620853,0.37660968802578076,1.1909444030469092,0.2641366552051455,16.0,0.275390625,1.0,
nn_test_ap,10,0.9509140549222455,0.9613218894242092,0.010407834501963798,-0.0021800256522810126,0.02299569465620861,0.5914679854994167,1.8703859972496002,0.0942405844502196,11.0,0.10546875,1.0,
nn_test_category_mrr,10,0.9638608348870935,0.953822249844624,-0.010038585042469383,-0.035210371539057726,0.015133201454118962,-0.2852865106446692,-0.9021551593590258,0.39047934617347146,20.0,0.4921875,1.0,
nn_test_link_mrr,10,0.6221632316708565,0.6744576632976532,0.052294431626796735,-0.15906703630275307,0.26365589955634655,0.1769914979040024,0.5596962598615652,0.5893426875115921,26.0,0.921875,1.0,
nn_test_link_hits1,10,0.5881448104412679,0.5892635177128651,0.0011187072715972634,-0.23731885034359101,0.23955626488678555,0.0033563293488698505,0.01061364532009861,0.9917632420376619,23.0,0.6953125,1.0,
nn_test_link_hits3,10,0.6259322560596644,0.7314947172156618,0.1055624611559975,-0.1003599465452804,0.3114848688572754,0.3667149993154155,1.159654649983801,0.27602881920760713,23.0,0.6953125,1.0,
nn_test_link_hits10,10,0.6915941578620262,0.8112647607209447,0.11967060285891859,-0.05550020142507506,0.29484140714291224,0.4887069654484802,1.545427119206409,0.15664332441443263,8.0,0.048828125,1.0,
test_auc_random_cc,10,0.9462228274086371,0.9542844015869344,0.008061574178297403,-0.0029399189176984204,0.019063067274293227,0.5241927355786639,1.657642977342959,0.1317672113038346,14.0,0.193359375,1.0,
test_ap_random_cc,10,0.942985305289687,0.9534038036807944,0.010418498391107301,-0.0007082614525148762,0.021545258234729477,0.6698216622510165,2.118162078833239,0.06322607999428073,9.0,0.064453125,1.0,
test_link_acc_random_cc,10,0.8703315455875182,0.8810628961482205,0.010731350560702091,-0.004202765730901529,0.02566546685230571,0.5140408434013928,1.6255398755023367,0.13849264549011475,11.0,0.10546875,1.0,
test_link_f1_random_cc,10,0.8684361853960096,0.8809253332524054,0.012489147856395998,-0.005138038122765538,0.030116333835557535,0.5068419984519031,1.6027751289395495,0.14344794304606973,13.0,0.16015625,1.0,
test_auc_historical,10,0.8923230698609161,0.8826420466309972,-0.00968102322991885,-0.02609671761409204,0.006734671154254341,-0.42187595981695597,-1.334088923091253,0.21494627438224076,18.0,0.375,1.0,
test_ap_historical,10,0.8510740363073621,0.855548103749069,0.0044740674417068195,-0.029243751552842038,0.03819188643625568,0.09492176948695615,0.3001689911122539,0.7708659235419357,23.0,0.6953125,1.0,
test_link_acc_historical,10,0.8297025841053145,0.8071818625060946,-0.022520721599219883,-0.04265700541533265,-0.002384437783107117,-0.8000658845776389,-2.5300304734627206,0.03223376000659546,7.5,0.041015625,1.0,
test_link_f1_historical,10,0.8342438834222137,0.8207802340648636,-0.013463649357350161,-0.029947891890974226,0.0030205931762739037,-0.584274013665006,-1.8476366608297625,0.09771770695534128,13.0,0.16015625,1.0,
test_auc_inductive,10,0.8999722621660575,0.9087284522587238,0.008756190092666316,-0.005833372481938196,0.023345752667270826,0.4293343971589607,1.3576745728776398,0.207628797103733,14.0,0.193359375,1.0,
test_ap_inductive,10,0.888269892103558,0.9118104689727226,0.023540576869164342,0.0035804915187298454,0.043500662219598835,0.8436794702144609,2.667948741001883,0.025708723910306222,8.0,0.048828125,1.0,
test_link_acc_inductive,10,0.8114188200877621,0.8068844466114091,-0.004534373476353016,-0.02128381637549559,0.01221506942278956,-0.193659896636048,-0.6124063648026921,0.5554239724748845,25.0,0.845703125,1.0,
test_link_f1_inductive,10,0.8196902083622671,0.8205455438776752,0.0008553355154082732,-0.01148623745078421,0.013196908481600758,0.049577972722390756,0.15677931557645355,0.8788794208757211,25.0,0.845703125,1.0,
test_c0_acc,10,0.92404833836858,0.9589123867069486,0.03486404833836856,0.012965745811857679,0.056762350864879435,1.1389119188007137,3.601555717723,0.005734368905824296,2.0,0.005859375,0.34979650325528205,
test_c1_acc,10,1.0,0.8647524752475247,-0.13524752475247528,-0.26403497662709946,-0.0064600728778511085,-0.7512397321231956,-2.375628622324059,0.04152414178234879,0.0,0.015625,1.0,
test_c2_acc,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
test_c3_acc,10,0.9374952657492741,0.9055043555106679,-0.031990910238606264,-0.07354789536909498,0.009566074891882458,-0.5506876520425174,-1.74142725978463,0.11559163164218324,11.0,0.10546875,1.0,
test_c0_precision,10,0.8253153066470558,0.7380505680270859,-0.08726473861996982,-0.1991388496365165,0.024609372396576887,-0.5579971349250531,-1.764541874211456,0.1114616458699614,12.0,0.130859375,1.0,
test_c1_precision,10,0.9159175197500342,0.9041752969141499,-0.011742222835884396,-0.19268223957948585,0.16919779390771708,-0.046423562616329794,-0.14680419496704764,0.8865224404398705,20.0,0.8203125,1.0,
test_c2_precision,10,0.9121822490346906,0.8281599226322441,-0.08402232640244649,-0.35682177049801767,0.18877711769312466,-0.2203301830287242,-0.6967452156525447,0.5035591440654118,7.0,0.5625,1.0,
test_c3_precision,10,0.9838366729566193,0.9897694007733915,0.005932727816772199,-0.003729670770204599,0.015595126403748997,0.4392302570391208,1.3889680295048268,0.1982479832543167,10.0,0.083984375,1.0,
test_c0_auc,10,0.9800866999227148,0.9888273378767651,0.008740637954050367,-0.0014221284483475448,0.01890340435644828,0.6152533154303249,1.9456018147298455,0.08355470463668153,11.0,0.10546875,1.0,
test_c1_auc,10,1.0,0.9976802843361259,-0.0023197156638741223,-0.006897416743083823,0.002257985415335578,-0.3625017429768838,-1.1463311635878992,0.28122110974129455,0.0,0.0078125,1.0,
test_c2_auc,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
test_c3_auc,10,0.9852591956971839,0.9924938339798743,0.007234638282690243,0.0006493692273083435,0.013819907338072143,0.7858977991935792,2.4852270535653505,0.03469263214833369,4.0,0.013671875,1.0,
test_c0_recall,10,0.92404833836858,0.9589123867069486,0.03486404833836856,0.012965745811857679,0.056762350864879435,1.1389119188007137,3.601555717723,0.005734368905824296,2.0,0.005859375,0.34979650325528205,
test_c1_recall,10,1.0,0.8647524752475247,-0.13524752475247528,-0.26403497662709946,-0.0064600728778511085,-0.7512397321231956,-2.375628622324059,0.04152414178234879,0.0,0.015625,1.0,
test_c2_recall,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
test_c3_recall,10,0.9374952657492741,0.9055043555106679,-0.031990910238606264,-0.07354789536909498,0.009566074891882458,-0.5506876520425174,-1.74142725978463,0.11559163164218324,11.0,0.10546875,1.0,
nntest_c0_acc,10,0.7730864197530863,0.9069135802469136,0.1338271604938272,0.07807827678751982,0.18957604420013457,1.7172394692249686,5.430388010689523,0.00041616113586862344,0.0,0.001953125,0.0266343126955919,*
nntest_c1_acc,10,1.0,0.8611940298507463,-0.13880597014925372,-0.28442475910927006,0.006812818810762622,-0.6818887181069127,-2.1563214599903433,0.05942220574096655,0.0,0.03125,1.0,
nntest_c2_acc,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_acc,10,0.942231543624161,0.9134731543624162,-0.02875838926174492,-0.0798125089893631,0.02229573046587325,-0.40295499114938127,-1.2742555665650352,0.234490440516629,17.0,0.322265625,1.0,
nntest_c0_precision,10,0.6596170835010126,0.5334903897257313,-0.12612669377528132,-0.3176872732989964,0.0654338857484337,-0.47100296754022347,-1.4894421621254612,0.17055450098971453,13.0,0.16015625,1.0,
