metric,n,mean_cat_tgn_last,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,25,0.94610043785945,0.9467514025694378,0.000650964709987929,-0.012533681574124341,0.013835610994100198,0.020380146720108256,0.10190073360054128,0.9196820666926427,124.0,0.312333345413208,1.0,
test_ap,25,0.9432560713513644,0.9458993904845944,0.002643319133230131,-0.009387307071468887,0.01467394533792915,0.09069424091767782,0.4534712045883891,0.6542831509630311,122.0,0.2872292995452881,1.0,
test_category_mrr,25,0.9531799122379327,0.9549793596619535,0.0017994474240208191,-0.013438617066685097,0.017037511914726734,0.04874473332787127,0.24372366663935635,0.8095161600889607,159.0,0.936802864074707,1.0,
test_link_mrr,25,0.4986289918422699,0.4687520170211792,-0.029876974821090706,-0.08308793519024191,0.02333398554806049,-0.23176821065155845,-1.1588410532577924,0.25792195431957293,124.0,0.312333345413208,1.0,
test_link_hits1,25,0.3872491467576792,0.3566026328620185,-0.030646513895660654,-0.10421798910936639,0.042924961318045074,-0.17194516153016903,-0.8597258076508452,0.39844679462004695,134.0,0.457846462726593,1.0,
test_link_hits3,25,0.5551477328132618,0.5219892735251097,-0.03315845928815212,-0.07731312412140459,0.010996205545100349,-0.30998172758897397,-1.5499086379448697,0.13425089425424455,107.0,0.14091521501541138,1.0,
test_link_hits10,25,0.6973846903949295,0.6708532423208191,-0.026531448074110172,-0.056255662166167134,0.003192766017946793,-0.36844181883817967,-1.8422090941908984,0.07783436165594315,102.0,0.10731470584869385,1.0,
test_category_accuracy,25,0.9132871769868358,0.9172657240370551,0.003978547050219432,-0.023500619474541785,0.031457713574980645,0.059763949004189514,0.29881974502094755,0.767649726142132,153.0,0.8119303584098816,1.0,
test_f1_macro,25,0.8755014188559316,0.8671883641480281,-0.008313054707903542,-0.05469839567227604,0.038072286256468954,-0.07397725789082944,-0.3698862894541472,0.7147112171968851,143.0,0.615043044090271,1.0,
test_link_acc,25,0.8674383227693808,0.873129205265724,0.005690882496343259,-0.015113030046814135,0.026494795039500654,0.11291533911451795,0.5645766955725897,0.577600882908607,111.0,0.17295855283737183,1.0,
test_link_precision,25,0.8497461311830592,0.8721926192304689,0.022446488047409542,-0.009342263737947068,0.05423523983276615,0.2914696035091866,1.4573480175459328,0.1579815593683635,81.0,0.02747941017150879,1.0,
test_link_recall,25,0.8981335933690882,0.8785529010238907,-0.019580692345197465,-0.044405753502767556,0.005244368812372627,-0.32557875697003563,-1.627893784850178,0.11660593509368983,103.0,0.1134914755821228,1.0,
test_link_f1,25,0.8715983557146685,0.8740617158242194,0.002463360109551096,-0.01560272553717719,0.02052944575627938,0.056283640920246396,0.28141820460123196,0.7808018140227592,127.0,0.3525196313858032,1.0,
tuned_link_threshold,25,0.3368,0.40120000000000006,0.0644,0.0025050619843053346,0.12629493801569466,0.42948606664778166,2.147430333238908,0.04206904934673464,87.0,0.042169894281918384,1.0,
nn_test_auc,25,0.9342337099503608,0.9507456604803387,0.01651195052997796,0.0014209568372111781,0.03160294422274474,0.45164674563251467,2.2582337281625735,0.033298943138286026,91.0,0.055070459842681885,1.0,
nn_test_ap,25,0.9386509942237469,0.9537573040572171,0.01510630983347034,0.0002027190528453328,0.030009900614095347,0.418394353357295,2.0919717667864752,0.047196874366804455,92.0,0.05875152349472046,1.0,
nn_test_category_mrr,25,0.9383918582970788,0.9502599958566398,0.011868137559560826,-0.006891069466420655,0.030627344585542306,0.26114784067851143,1.3057392033925574,0.20401952726302905,112.0,0.18172985315322876,1.0,
nn_test_link_mrr,25,0.5820025539398194,0.5999884390830994,0.01798588514328003,-0.07049262351184901,0.10646439379840908,0.08390973817497911,0.41954869087489555,0.6785469792064042,151.0,0.7711594104766846,1.0,
nn_test_link_hits1,25,0.46530764449968925,0.4842324425108763,0.01892479801118707,-0.09950522410924305,0.1373548201316172,0.06596108435185698,0.3298054217592849,0.7444083446147296,150.0,0.7509929537773132,1.0,
nn_test_link_hits3,25,0.6496706028589186,0.6731821006836545,0.023511497824735873,-0.05560122343979283,0.10262421908926457,0.12267394109713128,0.6133697054856563,0.5454017011609127,152.0,0.7914759516716003,1.0,
nn_test_link_hits10,25,0.79497203231821,0.8034928527035428,0.00852082038533251,-0.02412524862639873,0.041166889397063755,0.10773798787755437,0.5386899393877718,0.5950626644927234,158.0,0.9158032536506653,1.0,
test_auc_random_cc,25,0.9467220428084339,0.947374090197763,0.0006520473893292556,-0.012032229577171545,0.013336324355830056,0.02121933591491439,0.10609667957457197,0.916387478684764,126.0,0.33878785371780396,1.0,
test_ap_random_cc,25,0.9438457228842604,0.9459489329542313,0.0021032100699710154,-0.009583951644988622,0.013790371784930651,0.07428342901524997,0.3714171450762498,0.713585666704239,127.0,0.3525196313858032,1.0,
test_link_acc_random_cc,25,0.8683022915650903,0.8740321794246709,0.005729887859580685,-0.014090930247880867,0.025550705967042234,0.11932814526184055,0.5966407263092027,0.5563340722731217,115.0,0.20993918180465698,1.0,
test_link_f1_random_cc,25,0.8722946739145074,0.8747833051266762,0.0024886312121688236,-0.014908489743027864,0.01988575216736551,0.059047498634348286,0.2952374931717414,0.7703515290960121,127.0,0.3525196313858032,1.0,
test_auc_historical,25,0.8551397390910144,0.8732975739795621,0.018157834888547785,-0.0002527363715268613,0.03656840614862243,0.40711316101335343,2.0355658050667675,0.05297853008219666,74.0,0.01597297191619873,1.0,
test_ap_historical,25,0.82110017838061,0.8450538164325431,0.023953638051933103,0.0010242089863571856,0.04688306711750902,0.4312177069891759,2.156088534945879,0.04131532975274779,87.0,0.04215019941329956,1.0,
test_link_acc_historical,25,0.7740204778156996,0.7986445636274988,0.024624085811799125,1.886737560890389e-05,0.049229304247989346,0.41309623338784945,2.0654811669392474,0.049838112539646616,56.0,0.0030878782272338867,1.0,
test_link_f1_historical,25,0.7994474122613368,0.8137250045061996,0.014277592244862967,-0.0044221603951223615,0.0329773448848483,0.31516461917976724,1.5758230958988362,0.1281579716398413,78.0,0.021908342838287354,1.0,
test_auc_inductive,25,0.8877224006745589,0.8972684612588643,0.009546060584305436,-0.0069105815465657396,0.02600270271517661,0.23944253697055984,1.1972126848527993,0.24291548063086438,116.0,0.21998637914657593,1.0,
test_ap_inductive,25,0.8878121184010395,0.8959192170298812,0.008107098628841741,-0.01052040343849592,0.026734600696179403,0.17965081027565233,0.8982540513782616,0.3779737262555229,130.0,0.39571136236190796,1.0,
test_link_acc_inductive,25,0.7755104826913701,0.7954987810823988,0.01998829839102876,-0.00039647698501156167,0.040373073767069084,0.40475128656187764,2.0237564328093884,0.054265865810236485,72.0,0.013554692268371582,1.0,
test_link_f1_inductive,25,0.8005868808566919,0.8113236713167785,0.010736790460086599,-0.0034458548025211606,0.02491943572269436,0.3124896093325786,1.5624480466628927,0.1312735339430485,88.0,0.04512268304824829,1.0,
test_c0_acc,25,0.9492930513595167,0.9453293051359517,-0.003963746223564937,-0.020460454584840134,0.012532962137710258,-0.09918063592222968,-0.4959031796111484,0.6244736127325643,161.0,0.9678000011114964,1.0,
