comparison,metric,n,dz_sequential,p_sequential,dz_subsampled_mean,dz_subsampled_q25,dz_subsampled_q75,prob_significant,wilcoxon_floor
BiTA vs BiGRU,test_auc_historical,3,0.13583686273772141,0.8358900729922601,0.8704042214825892,0.03150642431041198,1.3630872112459311,0.0925,0.25
BiTA vs BiGRU,test_auc_historical,4,0.3922376069444224,0.4900038877009728,0.5078529515254346,0.012160615696910359,0.8200372610009332,0.095,0.125
BiTA vs BiGRU,test_auc_historical,5,0.3986462048375189,0.423089567945864,0.5208379749521055,0.036868854844605,0.8517352688905431,0.1375,0.0625
BiTA vs BiGRU,test_auc_historical,6,0.5913351745396448,0.2071540063922634,0.39964733313028517,0.06526804012148194,0.6461046135124457,0.0925,0.03125
BiTA vs BiGRU,test_auc_historical,7,0.6851547179400873,0.119817869334873,0.4278349438319184,0.12198973867335405,0.6702921268504218,0.1275,0.015625
BiTA vs BiGRU,test_auc_historical,8,0.818560572334432,0.05377021294268491,0.3984101771827516,0.11485583211349812,0.6261074509349203,0.14,0.0078125
BiTA vs BiGRU,test_auc_historical,9,0.9069968029130423,0.026208528006238276,0.3987857618730445,0.1468475065965053,0.6115382233370356,0.1525,0.00390625
BiTA vs BiGRU,test_auc_historical,10,0.6696298616267695,0.06328840411057406,0.4027192379442559,0.17137195076948403,0.5971321261241185,0.1675,0.001953125
BiTA vs BiGRU,test_auc_historical,11,0.6575811808105718,0.05415844052279916,0.36242222631475185,0.16463312791431173,0.5182939530397271,0.145,0.0009765625
BiTA vs BiGRU,test_auc_historical,12,0.32645272581245843,0.2821652173699318,0.3356276874056259,0.16107470452497594,0.48102722307409834,0.115,0.00048828125
BiTA vs BiGRU,test_auc_historical,13,0.16127381380743308,0.5716776297951051,0.3629234239016016,0.21259802181416032,0.4917104904944026,0.13,0.000244140625
BiTA vs BiGRU,test_auc_historical,14,0.20971327531401565,0.44670797232875364,0.34238705769268735,0.18648316336134815,0.46253633662151206,0.14,0.0001220703125
BiTA vs BiGRU,test_auc_historical,15,0.19948147388609327,0.45261250625495647,0.3531582647181608,0.19905617401966358,0.476038443807895,0.16,6.103515625e-05
