metric,baseline,primary,mean_diff,ci95_lo,ci95_hi,dz,p_raw,p_holm,sig
test_auc,TGN-Last,True,0.0197611392190511,0.0054804477322421,0.0340418307058601,0.9898867588627338,0.013671875,0.041015625,*
test_auc,TGN-Mean,True,0.0184675152219095,0.0054016101209483,0.0315334203228706,1.011094482014837,0.013671875,0.041015625,*
test_auc,TGN-Attention,True,0.0175195313270737,0.0045439301305458,0.0304951325236016,0.9658679805560946,0.009765625,0.0390625,*
test_auc,DyRep,True,0.0319204317214777,-0.0083047360910721,0.0721455995340276,0.5676670232908265,0.01953125,0.041015625,*
test_ap,TGN-Last,True,0.0259112241310482,0.0105402412182013,0.0412822070438951,1.2058938084439006,0.005859375,0.017578125,*
test_ap,TGN-Mean,True,0.0244152665183585,0.0081266050652747,0.0407039279714422,1.0722568926445193,0.009765625,0.01953125,*
test_ap,TGN-Attention,True,0.0215223962970558,0.0099937638526106,0.033051028741501,1.3354745151541956,0.00390625,0.015625,*
test_ap,DyRep,True,0.0359246259344519,-0.0091814445272219,0.0810306963961258,0.5697443602066633,0.02734375,0.02734375,*
test_auc_historical,TGN-Last,True,0.0386280338924466,0.0167351019903447,0.0605209657945485,1.262180457720131,0.00390625,0.015625,*
test_auc_historical,TGN-Mean,True,0.0354620935049461,0.0147307734637527,0.0561934135461395,1.2236583796176046,0.00390625,0.015625,*
test_auc_historical,TGN-Attention,True,0.0294109667163584,0.0110298819041052,0.0477920515286115,1.144618958386786,0.009765625,0.01953125,*
test_auc_historical,DyRep,True,0.0298635805963056,-0.0105441211872467,0.070271282379858,0.5286892763912271,0.130859375,0.130859375,
nn_test_ap,TGN-Last,False,0.042501971477606,0.0140013187410591,0.071002624214153,1.0667853503188698,0.013671875,,
nn_test_ap,TGN-Mean,False,0.0392038293784559,0.0122291031098834,0.0661785556470285,1.039666901793484,0.01953125,,
nn_test_ap,TGN-Attention,False,0.0404819387959018,0.0104146652279175,0.070549212363886,0.9631413509858698,0.01953125,,
nn_test_ap,DyRep,False,0.0812290376971906,-0.0331741399716653,0.1956322153660466,0.5079207961358532,0.01953125,,
nn_test_auc,TGN-Last,False,0.0417282602019945,0.0122798966922944,0.0711766237116947,1.0136590136767696,0.01953125,,
nn_test_auc,TGN-Mean,False,0.0387969189197958,0.0120568664997526,0.065536971339839,1.037905365468056,0.02734375,,
nn_test_auc,TGN-Attention,False,0.0350490991571261,0.0084638044494573,0.061634393864795,0.9431008911429632,0.02734375,,
nn_test_auc,DyRep,False,0.0842162043176183,-0.0406327746473119,0.2090651832825485,0.4825401365129891,0.02734375,,
nn_test_link_mrr,TGN-Last,False,0.2053062796592712,0.0798021864660142,0.3308103728525282,1.170218924790375,0.009765625,,
nn_test_link_mrr,TGN-Mean,False,0.1669711530208587,0.0511991612633755,0.282743144778342,1.0317173056982956,0.01953125,,
nn_test_link_mrr,TGN-Attention,False,0.1970319777727127,0.0564983148896945,0.3375656406557308,1.002949635733151,0.009765625,,
nn_test_link_mrr,DyRep,False,0.1745206071063876,-0.0731137492762628,0.4221549634890381,0.5041486300666406,0.16015625,,
test_ap_historical,TGN-Last,False,0.0660874542919043,0.0203021427055027,0.111872765878306,1.032560775228525,0.013671875,,
test_ap_historical,TGN-Mean,False,0.0591685916034806,0.01808986263474,0.1002473205722212,1.030379022980892,0.009765625,,
test_ap_historical,TGN-Attention,False,0.0500950864439091,0.0176662370379155,0.0825239358499028,1.1050612864551566,0.013671875,,
test_ap_historical,DyRep,False,0.0373409477177977,-0.0057905872973444,0.0804724827329399,0.6193172771624827,0.083984375,,
test_ap_inductive,TGN-Last,False,0.0589250664092508,0.0220799495001754,0.0957701833183261,1.14404449562908,0.013671875,,
test_ap_inductive,TGN-Mean,False,0.0504337578481295,0.0168627382052555,0.0840047774910036,1.0746810002945455,0.013671875,,
test_ap_inductive,TGN-Attention,False,0.043005827046258,0.011172905825801,0.074838748266715,0.966437078189051,0.02734375,,
