aggregator,setting,class,support,seeds,trivial_acc,accuracy,recall,precision,f1,auc
BiGRU-Transformer (BiTA),transductive,Anomaly.Traffic,1655,25,0.8386,0.9449 ± 0.0279,0.9453 ± 0.0349,0.7881 ± 0.1216,0.8528 ± 0.0626,0.9899 ± 0.0044
BiGRU-Transformer (BiTA),transductive,Availability.DDoS,505,25,0.9508,0.9807 ± 0.0318,0.8968 ± 0.1481,0.8658 ± 0.2270,0.8559 ± 0.1754,0.9901 ± 0.0246
BiGRU-Transformer (BiTA),transductive,Availability.DoS,174,25,0.9830,0.9866 ± 0.0238,1.0000 ± 0.0000,0.7359 ± 0.2850,0.8133 ± 0.2219,1.0000 ± 0.0000
BiGRU-Transformer (BiTA),transductive,Recon.Scanning,7921,25,0.2276,0.9223 ± 0.0400,0.9109 ± 0.0563,0.9879 ± 0.0092,0.9468 ± 0.0290,0.9896 ± 0.0063
BiGRU-Transformer (BiTA),inductive,Anomaly.Traffic,405,25,0.9371,0.9402 ± 0.0347,0.8808 ± 0.0870,0.5967 ± 0.2193,0.6784 ± 0.1234,0.9835 ± 0.0058
BiGRU-Transformer (BiTA),inductive,Availability.DDoS,67,25,0.9896,0.9794 ± 0.0466,0.8997 ± 0.1554,0.7548 ± 0.3485,0.7548 ± 0.2936,0.9857 ± 0.0396
BiGRU-Transformer (BiTA),inductive,Availability.DoS,4,25,0.9994,,,,,
BiGRU-Transformer (BiTA),inductive,Recon.Scanning,5960,25,0.0740,0.9097 ± 0.0566,0.9087 ± 0.0638,0.9933 ± 0.0046,0.9479 ± 0.0347,0.9821 ± 0.0132
BiTransformer,transductive,Anomaly.Traffic,1655,25,0.8386,0.9538 ± 0.0347,0.9265 ± 0.0506,0.8421 ± 0.1410,0.8739 ± 0.0789,0.9880 ± 0.0080
BiTransformer,transductive,Availability.DDoS,505,25,0.9508,0.9806 ± 0.0315,0.9718 ± 0.0399,0.8278 ± 0.2331,0.8727 ± 0.1621,0.9979 ± 0.0048
BiTransformer,transductive,Availability.DoS,174,25,0.9830,0.9881 ± 0.0308,1.0000 ± 0.0000,0.8194 ± 0.2657,0.8702 ± 0.2205,1.0000 ± 0.0001
BiTransformer,transductive,Recon.Scanning,7921,25,0.2276,0.9313 ± 0.0441,0.9224 ± 0.0610,0.9880 ± 0.0063,0.9530 ± 0.0318,0.9849 ± 0.0187
BiTransformer,inductive,Anomaly.Traffic,405,25,0.9371,0.9520 ± 0.0382,0.8450 ± 0.0842,0.6936 ± 0.2466,0.7270 ± 0.1392,0.9774 ± 0.0161
BiTransformer,inductive,Availability.DDoS,67,25,0.9896,0.9781 ± 0.0388,0.9618 ± 0.0497,0.6806 ± 0.3810,0.7218 ± 0.3229,0.9973 ± 0.0055
BiTransformer,inductive,Availability.DoS,4,25,0.9994,,,,,
BiTransformer,inductive,Recon.Scanning,5960,25,0.0740,0.9226 ± 0.0546,0.9244 ± 0.0624,0.9917 ± 0.0053,0.9557 ± 0.0328,0.9736 ± 0.0256
BiTransformer-Temporal,transductive,Anomaly.Traffic,1655,10,0.8386,0.9380 ± 0.0417,0.9400 ± 0.0442,0.7862 ± 0.1768,0.8423 ± 0.0891,0.9885 ± 0.0041
BiTransformer-Temporal,transductive,Availability.DDoS,505,10,0.9508,0.9872 ± 0.0148,0.8937 ± 0.1412,0.8864 ± 0.1728,0.8785 ± 0.1314,0.9949 ± 0.0125
BiTransformer-Temporal,transductive,Availability.DoS,174,10,0.9830,0.9807 ± 0.0394,1.0000 ± 0.0000,0.7123 ± 0.3074,0.7915 ± 0.2552,1.0000 ± 0.0001
BiTransformer-Temporal,transductive,Recon.Scanning,7921,10,0.2276,0.9173 ± 0.0507,0.9048 ± 0.0718,0.9875 ± 0.0077,0.9428 ± 0.0363,0.9858 ± 0.0094
BiTransformer-Temporal,inductive,Anomaly.Traffic,405,10,0.9371,0.9374 ± 0.0472,0.8835 ± 0.1071,0.6459 ± 0.2966,0.6909 ± 0.1645,0.9818 ± 0.0046
BiTransformer-Temporal,inductive,Availability.DDoS,67,10,0.9896,0.9883 ± 0.0194,0.8672 ± 0.1550,0.7593 ± 0.3459,0.7564 ± 0.2817,0.9904 ± 0.0280
BiTransformer-Temporal,inductive,Availability.DoS,4,10,0.9994,,,,,
BiTransformer-Temporal,inductive,Recon.Scanning,5960,10,0.0740,0.9156 ± 0.0575,0.9157 ± 0.0676,0.9930 ± 0.0061,0.9514 ± 0.0342,0.9795 ± 0.0113
Relative Transformer,transductive,Anomaly.Traffic,1655,10,0.8386,0.9581 ± 0.0219,0.9334 ± 0.0227,0.8416 ± 0.1023,0.8814 ± 0.0528,0.9914 ± 0.0037
Relative Transformer,transductive,Availability.DDoS,505,10,0.9508,0.9839 ± 0.0355,0.9218 ± 0.1888,0.8565 ± 0.2549,0.8827 ± 0.2307,0.9817 ± 0.0469
Relative Transformer,transductive,Availability.DoS,174,10,0.9830,0.9908 ± 0.0196,0.9971 ± 0.0091,0.8254 ± 0.2800,0.8731 ± 0.2167,1.0000 ± 0.0000
Relative Transformer,transductive,Recon.Scanning,7921,10,0.2276,0.9371 ± 0.0396,0.9348 ± 0.0447,0.9829 ± 0.0146,0.9578 ± 0.0273,0.9855 ± 0.0213
Relative Transformer,inductive,Anomaly.Traffic,405,10,0.9371,0.9586 ± 0.0227,0.8427 ± 0.0439,0.6708 ± 0.1720,0.7338 ± 0.1000,0.9839 ± 0.0069
Relative Transformer,inductive,Availability.DDoS,67,10,0.9896,0.9805 ± 0.0448,0.9209 ± 0.1597,0.7218 ± 0.3776,0.7696 ± 0.3319,0.9696 ± 0.0704
Relative Transformer,inductive,Availability.DoS,4,10,0.9994,,,,,
Relative Transformer,inductive,Recon.Scanning,5960,10,0.0740,0.9332 ± 0.0448,0.9374 ± 0.0486,0.9899 ± 0.0046,0.9624 ± 0.0264,0.9779 ± 0.0238
Stacked BiTransformer,transductive,Anomaly.Traffic,1655,10,0.8386,0.9343 ± 0.0452,0.9564 ± 0.0214,0.7580 ± 0.1577,0.8360 ± 0.0948,0.9903 ± 0.0076
Stacked BiTransformer,transductive,Availability.DDoS,505,10,0.9508,0.9229 ± 0.2081,0.9723 ± 0.0783,0.7834 ± 0.3175,0.8328 ± 0.2855,0.9975 ± 0.0058
Stacked BiTransformer,transductive,Availability.DoS,174,10,0.9830,0.9868 ± 0.0189,0.9971 ± 0.0091,0.7252 ± 0.3064,0.8026 ± 0.2356,0.9999 ± 0.0003
Stacked BiTransformer,transductive,Recon.Scanning,7921,10,0.2276,0.8494 ± 0.2220,0.8126 ± 0.2905,0.8919 ± 0.3134,0.8496 ± 0.2998,0.9891 ± 0.0088
Stacked BiTransformer,inductive,Anomaly.Traffic,405,10,0.9371,0.9203 ± 0.0614,0.8840 ± 0.0713,0.5408 ± 0.2478,0.6353 ± 0.1763,0.9743 ± 0.0229
Stacked BiTransformer,inductive,Availability.DDoS,67,10,0.9896,0.9127 ± 0.2306,0.9821 ± 0.0343,0.6700 ± 0.4122,0.7125 ± 0.3836,0.9949 ± 0.0121
Stacked BiTransformer,inductive,Availability.DoS,4,10,0.9994,,,,,
Stacked BiTransformer,inductive,Recon.Scanning,5960,10,0.0740,0.8221 ± 0.2674,0.8139 ± 0.2912,0.8935 ± 0.3140,0.8510 ± 0.3004,0.9758 ± 0.0204
TCN Block,transductive,Anomaly.Traffic,1655,10,0.8386,0.9520 ± 0.0345,0.9307 ± 0.0177,0.8305 ± 0.1464,0.8702 ± 0.0789,0.9873 ± 0.0065
TCN Block,transductive,Availability.DDoS,505,10,0.9508,0.9669 ± 0.0383,0.9608 ± 0.0423,0.7173 ± 0.2697,0.7927 ± 0.1961,0.9927 ± 0.0137
TCN Block,transductive,Availability.DoS,174,10,0.9830,0.9949 ± 0.0091,1.0000 ± 0.0000,0.8521 ± 0.2324,0.9022 ± 0.1599,1.0000 ± 0.0000
TCN Block,transductive,Recon.Scanning,7921,10,0.2276,0.9180 ± 0.0605,0.9081 ± 0.0833,0.9850 ± 0.0053,0.9429 ± 0.0448,0.9870 ± 0.0078
TCN Block,inductive,Anomaly.Traffic,405,10,0.9371,0.9417 ± 0.0416,0.8556 ± 0.0706,0.6302 ± 0.2619,0.6885 ± 0.1533,0.9808 ± 0.0083
TCN Block,inductive,Availability.DDoS,67,10,0.9896,0.9566 ± 0.0546,0.9597 ± 0.0614,0.4708 ± 0.3727,0.5504 ± 0.3424,0.9872 ± 0.0212
TCN Block,inductive,Availability.DoS,4,10,0.9994,,,,,
TCN Block,inductive,Recon.Scanning,5960,10,0.0740,0.8956 ± 0.0834,0.8965 ± 0.0940,0.9902 ± 0.0046,0.9384 ± 0.0522,0.9750 ± 0.0145
