baseline,n,mean_baseline,std_baseline,diff,dz,ci_lo,ci_hi,p,metric,label,p_holm,significant
TGN-Last,25,0.94610043785945,0.013932277110890725,0.000650964709987929,0.020380146720108256,-0.012533681574124341,0.013835610994100198,0.312333345413208,test_auc,AUC,1.0,False
TGN-Mean,10,0.9335861204806447,0.03566357116475313,0.019939040094365958,0.556655993795367,-0.005684559020555445,0.04556263920928736,0.10546875,test_auc,AUC,0.52734375,False
TGN-Attention,25,0.9371127722358266,0.020691846212643014,0.009638630333611418,0.25706317357431585,-0.005838619873022187,0.025115880540245022,0.0801958441734314,test_auc,AUC,0.4811750650405884,False
BiGRU,25,0.9490397943612908,0.013419656012119807,-0.002288391791852846,-0.07406146208652452,-0.015042686386060754,0.010465902802355062,0.8119303584098816,test_auc,AUC,1.0,False
GRU,10,0.9516169910100813,0.0106876685958939,0.001908169564929041,0.13793303379657515,-0.007988098489670374,0.011804437619528456,1.0,test_auc,AUC,1.0,False
DyRep,10,0.9469069849981018,0.010112751429835148,0.006618175576908747,0.4367423120607747,-0.004221986855553837,0.01745833800937133,0.322265625,test_auc,AUC,1.0,False
EdgeBank,1,0.7702584105314481,0.0,0.175684121218057,,,,,test_auc,AUC,,False
TGN-Last,25,0.9432560713513644,0.013270999636081046,0.002643319133230131,0.09069424091767782,-0.009387307071468887,0.01467394533792915,0.2872292995452881,test_ap,AP,0.8616878986358643,False
TGN-Mean,10,0.9251699542629723,0.03863844478947491,0.028162462894501705,0.728801081479371,0.0005195122558580151,0.055805413533145394,0.064453125,test_ap,AP,0.38671875,False
TGN-Attention,25,0.9308885520821668,0.024477363448666,0.015010838402427548,0.3940029046184858,-0.0007153643358998665,0.030737041140754963,0.0801958441734314,test_ap,AP,0.38671875,False
BiGRU,25,0.9477789799515781,0.013899238802026617,-0.0018795894669837532,-0.06912805797419534,-0.013103055338994918,0.009343876405027412,0.978915274143219,test_ap,AP,0.984375,False
GRU,10,0.9462410117203222,0.01874228969535338,0.007091405437151988,0.3335908632157779,-0.008115503420010804,0.022298314294314777,0.4921875,test_ap,AP,0.984375,False
DyRep,10,0.9441144230481129,0.008344406050247284,0.009217994109361327,0.7099454471585768,-7.026285703010636e-05,0.01850625107575276,0.064453125,test_ap,AP,0.38671875,False
EdgeBank,1,0.7679108370309976,0.0,0.17585082768201976,,,,,test_ap,AP,,False
TGN-Last,25,0.8551397390910144,0.025385758190701047,0.018157834888547785,0.40711316101335343,-0.0002527363715268613,0.03656840614862243,0.01597297191619873,test_auc_historical,AUC$_{\mathrm{hist}}$,0.09583783149719238,False
TGN-Mean,10,0.8394800148623556,0.046726479012201935,0.04316203176864171,0.8879087301722082,0.008387897387245685,0.07793616615003773,0.02734375,test_auc_historical,AUC$_{\mathrm{hist}}$,0.13671875,False
TGN-Attention,25,0.8576824572618129,0.034168256564888234,0.015615116717749098,0.34994344751440887,-0.002803869071141319,0.03403410250663952,0.034173786640167236,test_auc_historical,AUC$_{\mathrm{hist}}$,0.13671875,False
BiGRU,25,0.8588161337859236,0.02959439149541776,0.01448144019363852,0.3328593349482857,-0.0034770308167036447,0.03243991120398068,0.07547956705093384,test_auc_historical,AUC$_{\mathrm{hist}}$,0.2264387011528015,False
GRU,10,0.8735220644886453,0.03277605464249787,0.00911998214235199,0.23182380042285164,-0.01902226294189147,0.037262227226595446,0.625,test_auc_historical,AUC$_{\mathrm{hist}}$,0.75,False
DyRep,10,0.8923230698609161,0.008758370893991566,-0.00968102322991885,-0.42187595981695597,-0.02609671761409204,0.006734671154254341,0.375,test_auc_historical,AUC$_{\mathrm{hist}}$,0.75,False
EdgeBank,1,0.5839102876645539,0.0,0.26383785388725955,,,,,test_auc_historical,AUC$_{\mathrm{hist}}$,,False
TGN-Last,25,0.4986289918422699,0.07299997360498774,-0.029876974821090706,-0.23176821065155845,-0.08308793519024191,0.02333398554806049,0.312333345413208,test_link_mrr,MRR,1.0,False
TGN-Mean,10,0.4411050707101822,0.16065904129932362,0.07399617433547974,0.3978545668610715,-0.05905162437127438,0.20704397304223388,0.275390625,test_link_mrr,MRR,1.0,False
TGN-Attention,25,0.42755013406276704,0.11395065274896529,0.04120188295841217,0.24159852724562392,-0.029193005573155538,0.11159677148997987,0.3809836506843567,test_link_mrr,MRR,1.0,False
BiGRU,25,0.5047746711969375,0.08530628506367996,-0.03602265417575837,-0.2674360878821642,-0.09162255823368022,0.019577249882163486,0.2002161741256714,test_link_mrr,MRR,1.0,False
GRU,10,0.47596023976802826,0.11309617996814073,0.03914100527763366,0.2964670748391725,-0.05530384478599919,0.1335858553412665,0.4921875,test_link_mrr,MRR,1.0,False
DyRep,10,0.4926970262080431,0.2372544369080224,0.02240421883761883,0.08971278992006601,-0.15624380540339225,0.20105224307862993,0.921875,test_link_mrr,MRR,1.0,False
EdgeBank,1,0.5110490419303547,0.0,-0.02207977551571244,,,,,test_link_mrr,MRR,,False
TGN-Last,25,0.8755014188559316,0.0791508842401228,-0.008313054707903542,-0.07397725789082944,-0.05469839567227604,0.038072286256468954,0.615043044090271,test_f1_macro,Macro-F1,1.0,False
TGN-Mean,10,0.8805632092294552,0.06992376106925266,-0.0031974615452968536,-0.030836376544123068,-0.07737369281328822,0.07097876972269453,0.76953125,test_f1_macro,Macro-F1,1.0,False
TGN-Attention,25,0.892425174415924,0.07330793658468557,-0.025236810267895895,-0.2325076557498701,-0.07004068241911972,0.019567061883327925,0.2872292995452881,test_f1_macro,Macro-F1,1.0,False
BiGRU,25,0.888444282973415,0.06380944666903667,-0.021255918825386976,-0.20797959070089309,-0.06344280855043714,0.020930970899663188,0.3525196313858032,test_f1_macro,Macro-F1,1.0,False
GRU,10,0.7971891597667063,0.1525543238597492,0.08017658791745193,0.5525640256805572,-0.023621113703230154,0.183974289538134,0.10546875,test_f1_macro,Macro-F1,0.52734375,False
DyRep,10,0.9268627078302621,0.05206199743055171,-0.049496960146103844,-0.7275505251435752,-0.0981643599230234,-0.0008295603691842873,0.037109375,test_f1_macro,Macro-F1,0.22265625,False
