metric,n,mean_tgn_attn,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9360056292479368,0.9535251605750107,0.017519531327073744,0.004543930130545888,0.0304951325236016,0.9658679805560946,3.0543427375844843,0.013696353933842895,3.0,0.009765625,0.17753511652729312,
test_ap,10,0.9318100208604184,0.9533324171574741,0.021522396297055834,0.009993763852610657,0.03305102874150101,1.3354745151541956,4.2231412249963105,0.0022290794166648607,1.0,0.00390625,0.037894350083302636,*
test_link_f1,10,0.8523702109672151,0.8800197228385876,0.027649511871372635,0.002504823230551831,0.05279420051219344,0.786618181932621,2.4875051038077935,0.034563203738396865,7.0,0.037109375,0.19181376014136164,
test_link_acc,10,0.8531643100926377,0.8800243783520234,0.026860068259385673,0.0034867592315122875,0.05023337728725906,0.8220716759137985,2.599618895799385,0.028756195573897074,5.0,0.01953125,0.19181376014136164,
test_link_mrr,10,0.40325734615325926,0.5151012450456619,0.11184389889240265,0.017463106396075928,0.20622469138872937,0.8477180933448817,2.680719988705052,0.025176352925395627,7.0,0.037109375,0.19181376014136164,
test_link_hits1,10,0.27412969283276445,0.421891760117016,0.14776206728425162,0.014333390792437561,0.2811907437760657,0.7922031309272286,2.505166263246621,0.03357600108298458,9.0,0.064453125,0.19181376014136164,
test_link_hits3,10,0.4633349585568016,0.5597562164797659,0.09642125792296441,0.015949867754603345,0.1768926480913255,0.8571445403547956,2.710529031499264,0.023976720017670206,8.0,0.048828125,0.19181376014136164,
test_link_hits10,10,0.6318381277425646,0.6727742564602632,0.0409361287176987,-0.03000237022012433,0.11187462765552172,0.4128074715476702,1.3054118452257915,0.2241356909484877,16.0,0.275390625,0.3521048649848525,
test_category_accuracy,10,0.8368113115553388,0.9137201365187713,0.07690882496343245,-0.04157221176007844,0.19538986168694333,0.4643549768733839,1.4684193697547065,0.17605243249242625,6.5,0.029296875,0.3521048649848525,
test_f1_macro,10,0.8140517084599745,0.8773657476841583,0.06331403922418369,-0.002712412899733785,0.12934049134810116,0.6859695432205525,2.16922616208226,0.05818676998058832,9.0,0.064453125,0.19181376014136164,
test_auc_historical,10,0.8532310799146389,0.8826420466309972,0.029410966716358435,0.011029881904105289,0.04779205152861158,1.144618958386786,3.619602961511734,0.005575203450624977,3.0,0.009765625,0.08920325520999964,
test_ap_historical,10,0.8054530173051597,0.855548103749069,0.050095086443909184,0.017666237037915554,0.08252393584990281,1.1050612864551566,3.494510619274071,0.006781834345459703,4.0,0.013671875,0.10172751518189554,
test_auc_inductive,10,0.8783993704180644,0.9087284522587238,0.030329081840659567,0.006433744503929653,0.05422441917738948,0.9079645054064938,2.8712358716727864,0.018439514672991836,6.0,0.02734375,0.17753511652729312,
test_ap_inductive,10,0.8688046419264644,0.9118104689727226,0.04300582704625807,0.011172905825801077,0.07483874826671506,0.966437078189051,3.0561423823156377,0.013656547425176394,6.0,0.02734375,0.17753511652729312,
nn_test_auc,10,0.9225607535649573,0.9576098527220834,0.03504909915712619,0.00846380444945731,0.061634393864795065,0.9431008911429632,2.982346879346283,0.015390850951434257,6.0,0.02734375,0.17753511652729312,
nn_test_ap,10,0.9208399506283076,0.9613218894242092,0.0404819387959018,0.010414665227917508,0.07054921236388609,0.9631413509858698,3.045720377807008,0.013888737651318444,5.0,0.01953125,0.17753511652729312,
nn_test_link_mrr,10,0.47742568552494047,0.6744576632976532,0.1970319777727127,0.05649831488969456,0.3375656406557308,1.0029496357331513,3.1716052273529582,0.011336689182892802,3.0,0.009765625,0.15871364856049924,
