metric,n,mean_tgn_last,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9337640213559595,0.9535251605750107,0.01976113921905117,0.005480447732242166,0.03404183070586017,0.9898867588627338,3.1302967836481064,0.012115906202090498,4.0,0.013671875,0.10904315581881448,
test_ap,10,0.927421193026426,0.9533324171574741,0.025911224131048217,0.010540241218201312,0.041282207043895125,1.2058938084439006,3.813371050977513,0.004131702174807811,2.0,0.005859375,0.06610723479692497,
test_link_f1,10,0.8539066022512962,0.8800197228385876,0.026113120587291528,0.003986529907313609,0.04823971126726945,0.8442421798613203,2.669728185147308,0.025633870919327915,7.0,0.037109375,0.15293245743244444,
test_link_acc,10,0.8557727937591417,0.8800243783520234,0.024251584592881525,0.0021459122212408865,0.04635725696452216,0.7848003095126845,2.4817564864651915,0.03489074433945921,8.0,0.048828125,0.15293245743244444,
test_link_mrr,10,0.40587562322616577,0.5151012450456619,0.10922562181949616,0.025230740564599924,0.1932205030743924,0.9302388634898154,2.941673576634266,0.016441942028116007,7.0,0.037109375,0.12060007732232379,
test_link_hits1,10,0.2520234032179424,0.421891760117016,0.16986835689907365,0.04157034665075235,0.298166367147395,0.9471425315049413,2.9951276683734016,0.015075009665290474,7.0,0.037109375,0.12060007732232379,
test_link_hits3,10,0.4855485129205266,0.5597562164797659,0.0742077035592394,0.01141034007351513,0.13700506704496368,0.8453379293446546,2.673193249259597,0.025488742905407404,7.0,0.037109375,0.15293245743244444,
test_link_hits10,10,0.691389566065334,0.6727742564602632,-0.018615309605070667,-0.07643572035728546,0.03920510114714412,-0.23030950679054557,-0.7283026082481399,0.4849454528513417,20.0,0.4921875,0.4849454528513417,
test_category_accuracy,10,0.8023110677718186,0.9137201365187713,0.1114090687469527,2.052832640075941e-05,0.22279760916750463,0.7154887425133051,2.2625740665517906,0.049965940567743214,3.0,0.009765625,0.15293245743244444,
test_f1_macro,10,0.7999879870432707,0.8773657476841583,0.07737776064088751,0.010444497728093083,0.14431102355368194,0.8269836705125455,2.6151519865858703,0.028032911148446703,6.0,0.02734375,0.15293245743244444,
test_auc_historical,10,0.8440140127385506,0.8826420466309972,0.03862803389244669,0.01673510199034479,0.06052096579454859,1.262180457720131,3.9913650645494694,0.0031512298486311985,1.0,0.00390625,0.053570907426730374,
test_ap_historical,10,0.7894606494571645,0.855548103749069,0.06608745429190438,0.020302142705502742,0.11187276587830602,1.032560775228525,3.265243872271308,0.009756600482908303,4.0,0.013671875,0.10732260531199132,
test_auc_inductive,10,0.8683865562719164,0.9087284522587238,0.04034189598680747,0.014607105776215296,0.06607668619739965,1.1213945657981295,3.5461609836576446,0.006253405510213127,4.0,0.013671875,0.08129427163277066,
test_ap_inductive,10,0.8528854025634717,0.9118104689727226,0.058925066409250805,0.022079949500175458,0.09577018331832615,1.14404449562908,3.6177863507664405,0.005591012660662275,4.0,0.013671875,0.07827417724927185,
nn_test_auc,10,0.9158815925200887,0.9576098527220834,0.04172826020199459,0.0122798966922944,0.07117662371169478,1.0136590136767696,3.205471253978362,0.01073663518920672,5.0,0.01953125,0.1073663518920672,
nn_test_ap,10,0.9188199179466032,0.9613218894242092,0.04250197147760607,0.014001318741059102,0.07100262421415304,1.0667853503188698,3.3734714815082603,0.008211607254668978,4.0,0.013671875,0.09853928705602774,
nn_test_link_mrr,10,0.46915138363838194,0.6744576632976532,0.20530627965927123,0.0798021864660142,0.33081037285252823,1.170218924790375,3.7005571633708634,0.004916318670379142,3.0,0.009765625,0.07374478005568713,
