metric,n,mean_tgn_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9350576453531012,0.9535251605750107,0.018467515221909526,0.005401610120948358,0.031533420322870695,1.0110944820148373,3.197361492795039,0.01087726465932073,4.0,0.013671875,0.12628505650193314,
test_ap,10,0.9289171506391156,0.9533324171574741,0.024415266518358503,0.008126605065274791,0.04070392797144222,1.0722568926445193,3.3907740175713275,0.007989293598920325,3.0,0.009765625,0.12628505650193314,
test_link_f1,10,0.8557082933872941,0.8800197228385876,0.02431142945129362,0.003130934945023648,0.04549192395756359,0.8211021204841658,2.596552892323962,0.028901165094807814,8.0,0.048828125,0.20488283429151075,
test_link_acc,10,0.8573183812774255,0.8800243783520234,0.02270599707459777,0.0018071163358093813,0.043604877813386164,0.7772134793858296,2.4577648230435463,0.03629147973248022,8.0,0.048828125,0.20488283429151075,
test_link_mrr,10,0.42533358335495,0.5151012450456619,0.08976766169071197,0.010058608220842244,0.16947671516058171,0.8056288956882784,2.5476222592211646,0.03131667761893664,7.0,0.037109375,0.20488283429151075,
test_link_hits1,10,0.28259385665529,0.421891760117016,0.139297903461726,0.02129051531150361,0.2573052916119484,0.8444193095921245,2.6702883185379815,0.025610354286438843,6.0,0.02734375,0.20488283429151075,
test_link_hits3,10,0.4963042418332521,0.5597562164797659,0.06345197464651392,-0.002154478583853217,0.12905842787688104,0.6918649923274514,2.1878692090896665,0.05644595803644041,10.0,0.083984375,0.20488283429151075,
test_link_hits10,10,0.6863383715260849,0.6727742564602632,-0.01356411506582153,-0.06936412803476404,0.042235897903120975,-0.17389213495553885,-0.5498952136488855,0.5957717823344453,19.0,0.431640625,0.5957717823344453,
test_category_accuracy,10,0.7972208678693321,0.9137201365187713,0.1164992686494393,0.00422959510032303,0.22876894219855556,0.7423069270122069,2.3473806122789416,0.043491303600292255,3.0,0.009765625,0.20488283429151075,
test_f1_macro,10,0.7985267540223745,0.8773657476841583,0.07883899366178372,0.003292194055451128,0.1543857932681163,0.7465308771466074,2.3607379154266215,0.04254989138517109,7.0,0.037109375,0.20488283429151075,
test_auc_historical,10,0.8471799531260512,0.8826420466309972,0.03546209350494617,0.014730773463752761,0.056193413546139576,1.2236583796176046,3.869547557542589,0.0037913859823230835,1.0,0.00390625,0.06445356169949241,
test_ap_historical,10,0.7963795121455883,0.855548103749069,0.05916859160348066,0.018089862634740085,0.10024732057222124,1.030379022980892,3.2583445658785952,0.009864816362863165,3.0,0.009765625,0.12628505650193314,
test_auc_inductive,10,0.8730067748284185,0.9087284522587238,0.035721677430305444,0.01140824014728697,0.060035114713323914,1.0510134106160811,3.3235962289286083,0.008889256603651455,6.0,0.02734375,0.12628505650193314,
test_ap_inductive,10,0.8613767111245929,0.9118104689727226,0.05043375784812959,0.016862738205255558,0.08400477749100363,1.0746810002945457,3.398439719038849,0.007892816031370821,4.0,0.013671875,0.12628505650193314,
nn_test_auc,10,0.9188129338022876,0.9576098527220834,0.03879691891979584,0.012056866499752662,0.06553697133983902,1.0379053654680561,3.282144950588531,0.009496686419195923,6.0,0.02734375,0.12628505650193314,
nn_test_ap,10,0.9221180600457535,0.9613218894242092,0.03920382937845598,0.012229103109883444,0.06617855564702851,1.039666901793484,3.2877154175580072,0.009412606272066562,5.0,0.01953125,0.12628505650193314,
nn_test_link_mrr,10,0.5074865102767945,0.6744576632976532,0.16697115302085877,0.05119916126337551,0.28274314477834206,1.0317173056982956,3.2625765874188315,0.009798289981952799,5.0,0.01953125,0.12628505650193314,
