DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-15 00:01:41+00:00,447.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 01:01:44+01:00,5014.0,67.205.216.43,143.166.235.16,Anomaly.Traffic,tcp,20006.0
2019-03-15 00:01:59+00:00,594.0,224.177.31.162,93.63.62.14,Availability.DDoS,udp,OtherPort
2019-03-15 01:04:05+01:00,5070.0,67.205.216.43,143.166.244.26,Anomaly.Traffic,tcp,20019.0
2019-03-15 00:53:47+01:00,12.0,48.140.173.24,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:55:52+01:00,14.0,71.48.17.49,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:56:15+01:00,9.0,180.204.48.172,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:54:20+01:00,4.0,185.183.222.133,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:54:20+01:00,5.0,185.192.58.61,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:56:36+01:00,240.0,185.168.93.121,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:53:59+01:00,4.0,153.110.171.211,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:54:53+01:00,4.0,253.62.219.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:54:08+01:00,4.0,224.104.49.165,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:53:48+01:00,83.0,74.141.154.217,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:56:46+01:00,4.0,71.48.17.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:53:47+01:00,14.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 00:55:40+01:00,6.0,71.48.17.50,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:55:31+01:00,4.0,185.192.58.90,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:55:11+01:00,5.0,185.192.58.22,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:53:41+01:00,57.0,49.63.62.201,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:55:49+01:00,13.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:54:00+01:00,4.0,185.183.222.26,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:53:53+01:00,63.0,65.186.76.137,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:06:42+00:00,5.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 00:07:00+00:00,610.0,224.177.31.162,93.63.62.14,Availability.DDoS,udp,OtherPort
2019-03-15 00:01:15+00:00,5100.0,185.65.26.165,185.230.116.149,Recon.Scanning,tcp,OtherPort
2019-03-15 00:05:50+00:00,50.0,128.221.167.51,65.168.199.147,Recon.Scanning,tcp,OtherPort
2019-03-15 00:06:10+00:00,300.0,227.161.57.66,142.228.57.49,Recon.Scanning,tcp,OtherPort
2019-03-15 00:03:10+00:00,1300.0,179.227.104.146,80.159.88.176,Recon.Scanning,tcp,OtherPort
2019-03-15 00:06:41+00:00,450.0,185.131.61.135,128.219.12.72,Recon.Scanning,tcp,OtherPort
2019-03-15 00:00:27+00:00,100.0,224.177.107.17,231.134.141.177,Recon.Scanning,tcp,OtherPort
2019-03-15 00:06:38+00:00,500.0,253.70.159.203,142.252.76.193,Recon.Scanning,tcp,OtherPort
2019-03-15 00:02:55+00:00,50.0,146.93.177.195,128.221.39.195,Recon.Scanning,tcp,OtherPort
2019-03-15 00:06:46+00:00,150.0,98.171.35.223,142.230.50.145,Recon.Scanning,tcp,OtherPort
2019-03-15 01:08:46+01:00,5125.0,67.205.216.43,143.166.237.75,Anomaly.Traffic,tcp,20021.0
2019-03-15 00:00:27+00:00,50.0,227.161.57.66,142.252.40.176,Recon.Scanning,tcp,OtherPort
2019-03-15 00:06:58+00:00,550.0,253.70.159.203,142.252.73.6,Recon.Scanning,tcp,OtherPort
2019-03-15 01:00:20+01:00,15.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:03:30+01:00,240.0,185.58.160.152,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 00:59:51+01:00,4.0,99.61.207.93,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:00:00+01:00,4.0,39.165.226.217,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:01:16+01:00,26.0,185.185.131.198,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:00:34+01:00,239.0,185.58.160.133,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 00:58:49+01:00,82.0,74.141.154.217,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:59:35+01:00,13.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 00:58:53+01:00,5.0,185.183.222.97,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:59:37+01:00,4.0,185.183.222.26,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:58:47+01:00,19.0,65.186.76.137,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:58:54+01:00,5.0,253.62.219.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:10:54+01:00,19173.0,180.204.48.170,143.166.63.254,Anomaly.Traffic,tcp,23.0
2019-03-15 01:11:07+01:00,4962.0,67.205.216.43,143.166.108.51,Anomaly.Traffic,tcp,20014.0
2019-03-15 01:13:31+01:00,5095.0,67.205.216.43,143.166.118.192,Anomaly.Traffic,tcp,20010.0
2019-03-15 01:13:19+01:00,17920.0,180.204.48.170,143.166.126.59,Anomaly.Traffic,tcp,23.0
2019-03-15 01:05:40+01:00,5.0,185.183.222.97,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:03:57+01:00,4.0,253.62.219.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:26+01:00,7.0,71.48.17.49,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:47+01:00,5.0,71.48.17.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:07:06+01:00,11.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:10+01:00,5.0,185.108.187.201,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:03:56+01:00,15.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 01:03:49+01:00,10.0,185.185.131.198,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:06:29+01:00,46.0,78.234.46.182,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:25+01:00,5.0,99.61.207.93,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:06:55+01:00,240.0,146.93.191.223,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:05:39+01:00,11.0,37.180.76.147,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:05:41+01:00,11.0,37.202.132.229,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:07:29+01:00,8.0,180.204.48.170,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:03:55+01:00,28.0,74.141.154.217,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:20+01:00,6.0,226.153.85.129,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:25+01:00,8.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:15:56+01:00,4970.0,67.205.216.43,143.166.104.232,Anomaly.Traffic,tcp,20002.0
2019-03-15 00:16:42+00:00,1376.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 00:16:47+00:00,100.0,227.161.57.66,142.230.144.15,Recon.Scanning,tcp,OtherPort
2019-03-15 00:14:00+00:00,700.0,253.70.159.203,142.252.76.214,Recon.Scanning,tcp,OtherPort
2019-03-15 00:13:22+00:00,50.0,148.34.25.115,142.252.67.21,Recon.Scanning,tcp,OtherPort
2019-03-15 00:16:04+00:00,300.0,98.171.35.223,142.32.39.214,Recon.Scanning,tcp,OtherPort
2019-03-15 00:16:51+00:00,2900.0,103.186.228.127,224.51.173.141,Recon.Scanning,tcp,OtherPort
2019-03-15 00:16:12+00:00,100.0,128.221.167.51,65.168.199.147,Recon.Scanning,tcp,OtherPort
2019-03-15 00:15:18+00:00,2250.0,179.227.104.146,142.229.26.39,Recon.Scanning,tcp,OtherPort
2019-03-15 00:08:59+00:00,450.0,185.131.61.135,128.219.12.72,Recon.Scanning,tcp,OtherPort
2019-03-15 01:18:30+01:00,5193.0,67.205.216.43,143.166.127.135,Anomaly.Traffic,tcp,20000.0
2019-03-15 01:19:27+01:00,4862.0,67.205.216.43,143.166.127.135,Anomaly.Traffic,tcp,20000.0
2019-03-15 00:16:04+00:00,250.0,98.171.35.223,142.252.13.29,Recon.Scanning,tcp,OtherPort
2019-03-15 00:19:05+00:00,550.0,253.70.159.203,142.252.76.214,Recon.Scanning,tcp,OtherPort
2019-03-15 01:08:50+01:00,104.0,112.27.12.29,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:09:15+01:00,14.0,226.153.85.129,142.252.32.63,Recon.Scanning,tcp,OtherPort
