u,i,ts,label,idx,original_date
1,4118,1552262604.0,3,1,2019-03-11 00:03:24
2,4118,1552262629.0,3,2,2019-03-11 00:03:49
3,4118,1552262630.0,3,3,2019-03-11 00:03:50
4,4118,1552262631.0,3,4,2019-03-11 00:03:51
5,4118,1552262632.0,3,5,2019-03-11 00:03:52
2,4118,1552262632.0,3,6,2019-03-11 00:03:52
6,4118,1552262633.0,3,7,2019-03-11 00:03:53
7,4118,1552262633.0,3,8,2019-03-11 00:03:53
8,4118,1552262633.0,3,9,2019-03-11 00:03:53
9,4118,1552262636.0,3,10,2019-03-11 00:03:56
10,4118,1552262648.0,3,11,2019-03-11 00:04:08
11,4118,1552262652.0,3,12,2019-03-11 00:04:12
3,4118,1552262653.0,3,13,2019-03-11 00:04:13
12,4118,1552262654.0,3,14,2019-03-11 00:04:14
11,4118,1552262655.0,3,15,2019-03-11 00:04:15
13,4118,1552262656.0,3,16,2019-03-11 00:04:16
14,4118,1552262662.0,3,17,2019-03-11 00:04:22
10,4118,1552262663.0,3,18,2019-03-11 00:04:23
1,4118,1552262664.0,3,19,2019-03-11 00:04:24
15,4118,1552262666.0,3,20,2019-03-11 00:04:26
16,4118,1552262680.0,3,21,2019-03-11 00:04:40
9,4118,1552262687.0,3,22,2019-03-11 00:04:47
17,4118,1552262703.0,3,23,2019-03-11 00:05:03
18,4118,1552262716.0,3,24,2019-03-11 00:05:16
19,4118,1552262733.0,3,25,2019-03-11 00:05:33
20,4118,1552262751.0,3,26,2019-03-11 00:05:51
11,4118,1552262761.0,3,27,2019-03-11 00:06:01
21,4118,1552262807.0,3,28,2019-03-11 00:06:47
22,4118,1552262825.0,3,29,2019-03-11 00:07:05
23,4118,1552262933.0,3,30,2019-03-11 00:08:53
24,4119,1552262935.0,3,31,2019-03-11 00:08:55
20,4118,1552262936.0,3,32,2019-03-11 00:08:56
5,4118,1552262937.0,3,33,2019-03-11 00:08:57
6,4118,1552262937.0,3,34,2019-03-11 00:08:57
